"fatigue","2020-01-1"
"stresse","2020-01-1"
"stresse","2020-01-1"
"stresse","2020-01-1"
"stresse","2020-01-1"
"stresse","2020-01-1"
"stresse","2020-01-1"
"fatigue","2020-01-1"
"stresse","2020-01-1"
"fatigue","2020-01-1"
"stresse","2020-01-1"
"fatigue","2020-01-1"
"stresse","2020-01-2"
"stresse","2020-01-2"
"stresse","2020-01-2"
"stresse","2020-01-2"
"heureux","2020-01-2"
"fatigue","2020-01-2"
"fatigue","2020-01-2"
"fatigue","2020-01-2"
"stresse","2020-01-2"
"stresse","2020-01-2"
"heureux","2020-01-2"
"heureux","2020-01-2"
"fatigue","2020-01-3"
"fatigue","2020-01-3"
"fatigue","2020-01-3"
"fatigue","2020-01-3"
"stresse","2020-01-3"
"stresse","2020-01-3"
"heureux","2020-01-3"
"stresse","2020-01-3"
"heureux","2020-01-3"
"stresse","2020-01-3"
"heureux","2020-01-3"
"fatigue","2020-01-3"
"stresse","2020-01-4"
"stresse","2020-01-4"
"stresse","2020-01-4"
"stresse","2020-01-4"
"heureux","2020-01-4"
"fatigue","2020-01-4"
"fatigue","2020-01-4"
"fatigue","2020-01-4"
"heureux","2020-01-4"
"heureux","2020-01-4"
"fatigue","2020-01-4"
"stresse","2020-01-4"
"fatigue","2020-01-5"
"fatigue","2020-01-5"
"heureux","2020-01-5"
"heureux","2020-01-5"
"fatigue","2020-01-5"
"heureux","2020-01-5"
"fatigue","2020-01-5"
"heureux","2020-01-5"
"heureux","2020-01-5"
"stresse","2020-01-5"
"heureux","2020-01-5"
"fatigue","2020-01-5"
"fatigue","2020-01-6"
"heureux","2020-01-6"
"fatigue","2020-01-6"
"heureux","2020-01-6"
"stresse","2020-01-6"
"heureux","2020-01-6"
"stresse","2020-01-6"
"heureux","2020-01-6"
"stresse","2020-01-6"
"fatigue","2020-01-6"
"fatigue","2020-01-6"
"fatigue","2020-01-6"
"stresse","2020-01-7"
"stresse","2020-01-7"
"fatigue","2020-01-7"
"heureux","2020-01-7"
"fatigue","2020-01-7"
"heureux","2020-01-7"
"stresse","2020-01-7"
"stresse","2020-01-7"
"heureux","2020-01-7"
"stresse","2020-01-7"
"heureux","2020-01-7"
"fatigue","2020-01-7"
"heureux","2020-01-8"
"stresse","2020-01-8"
"heureux","2020-01-8"
"heureux","2020-01-8"
"fatigue","2020-01-8"
"heureux","2020-01-8"
"fatigue","2020-01-8"
"fatigue","2020-01-8"
"stresse","2020-01-8"
"fatigue","2020-01-8"
"heureux","2020-01-8"
"stresse","2020-01-8"
